location|latitude|longitude
/ois/docs/narrative/2005/OIS_2005_1016667P.pdf,1016667P,12/25/2005,9850 Whitehurst Drive,Shoot and Miss,Shotgun,Rittenhouse, Tony B/M,Cole, Bobby B/M,N/A,,,||
/ois/docs/narrative/2006/OIS_2006_1066R.pdf,1066R,1/1/2006,5423 Peterson Lane #259,Injured,Knife,Robles, Juan L/M,Tahbone, Jacqueline NA/F,No Bill,,,||
/ois/docs/narrative/2006/OIS_2006_106454R.pdf,106454R,2/11/2006,200 S Madison Avenue,Shoot and Miss,Toy Gun,Delesantos, Amanda L/F,Jaquez, Christopher L/M,N/A,,,||
/ois/docs/narrative/2006/OIS_2006_118251R.pdf,118251R,2/16/2006,1228 Oak Park Drive,Injured,Handgun,Tamayo, Alejandro L/M,Wilkins, Kenneth B/M Hackbarth, Dale W/M Houston, Timothy W/M    Deltufo, Harry W/M Perez, Adolfo L/M,See Summary,,,||
/ois/docs/narrative/2006/OIS_2006_145131R.pdf,145131R,2/27/2006,10200 Walton Walker Boulevard,Shoot and Miss,Unarmed,Indavong, Aenoi A/M,Green, Michael B/M,N/A,,,||
/ois/docs/narrative/2006/OIS_2006_161582R.pdf,161582R,3/5/2006,10834 Ferguson Road,Shoot and Miss,Vehicle,Wilson, Fred B/M,Tena, Edward L/M,N/A,,,||
/ois/docs/narrative/2006/OIS_2006_244659R.pdf,244659R,4/3/2006,6512 South Loop 12,Injured,Hands,Watkins, Caleb B/M,Armstrong, Michael W/M,No Bill,,,||
/ois/docs/narrative/2006/OIS_2006_318713R.pdf,318713R,4/29/2006,2700 Springdale Street,Shoot and Miss,Handgun,Unknown B/M,Wash, Shawn B/M,N/A,,,||
/ois/docs/narrative/2006/OIS_2006_345748R.pdf,345748R,5/9/2006,5500 Bernal Drive,Shoot and Miss,Handgun,Rodriguez, Robert Jr. L/M,Lopez, Antonio L/M,N/A,,,||
/ois/docs/narrative/2006/OIS_2006_398617R.pdf,398617R,5/27/2006,2208 N. Carroll Avenue,Deceased,Unarmed,Pabis, Jason W/M,Tayem, Michael L/M,No Bill,,,||
/ois/docs/narrative/2006/OIS_2006_715712R.pdf,715712R,9/19/2006,4843 Haas Drive,Shoot and Miss,Unarmed,Johnson, Dennis B/M,Gaitonde, Nekheel A/M,N/A,,,||
/ois/docs/narrative/2006/OIS_2006_738862R.pdf,738862R,9/29/2006,9711 Pinehurst Lane,2 Injured,Handgun,Moss, Marcus B/M,Harris, Mark W/M Bishop, Fredrick B/M,No Bill,,,||
/ois/docs/narrative/2006/OIS_2006_842907R.pdf,842907R,11/7/2006,2711 Exline Street,Shoot and Miss,Paint Ball Rifle,Hughes, Gary B/M,St. Clair , Stephen W/M,N/A,,,||
/ois/docs/narrative/2006/OIS_2006_871096R.pdf,871096R,11/18/2006,1700 Martin Luther King Jr. Boulevard,Injured,Handgun,Linwood, Robert B/M,Woody, Mark L/M,No Bill,,,||
/ois/docs/narrative/2006/OIS_2006_871610R.pdf,871610R,11/18/2006,4515 Village Fair Place,Deceased,Handgun,Turner, James B/M,Nelson, Barrett B/M Bridges, Christopher B/M Sanders, Curtis    B/M Quezada, Victor L/M Lockett, Clarence B/M,No Bill,,,||
/ois/docs/narrative/2006/OIS_2006_884861R.pdf,884861R,11/24/2006,7740 McCallum Boulevard,Injured,Handgun,Ramirez, Eric L/M,Daigrepont, Kevin W/M,No Bill,,,||
/ois/docs/narrative/2007/OIS_2007_62315T.pdf,62315T,1/27/2007,2600 Grand Avenue,Shoot and Miss,Hands,Wyatt, Michael B/M,Dominguez, Michael L/M,N/A,,,||
/ois/docs/narrative/2007/OIS_2007_100577T.pdf,100577T,2/12/2007,3847 Timberglen Road, #3116,Deceased,Handgun,Mims, Carlton B/M,Ragsdale, Barry W/M,No Bill,,,||
/ois/docs/narrative/2007/OIS_2007_201198T.pdf,201198T,3/22/2007,7000 Lake June Road,Deceased,Unarmed,Washington, Brandon B/M,Rivera, Martin L/M,No Bill,,,||
/ois/docs/narrative/2007/OIS_2007_203348T.pdf,203348T,3/23/2007,4023 Bernal Drive,Injured,Rifle,Ruiz, Wesley L/M,Starr, Patrick W/M Jarc, Jason W/M Haecker, Todd W/M Borchardt,    Jeremy W/M,No Bill,,,||
/ois/docs/narrative/2007/OIS_2007_355952T.pdf,355952T,5/16/2007,5400 E. R.L. Thornton Freeway,Deceased,Handgun,Smith, Tommy W/M,Melgoza, Greald L/M Fontenot, Michael W/M Edwards, Mark W/M    Christian, Artie B/M,No Bill,,,||
/ois/docs/narrative/2007/OIS_2007_374556T.pdf,374556T,5/22/2007,8131 L.B.J. Freeway,Injured,Vehicle,Anderson, Jarrod W/M,Welch, Michael W/M,No Bill,,,||
/ois/docs/narrative/2007/OIS_2007_384832T.pdf,384832T,5/26/2007,7900 S. Loop 12,Shoot and Miss,Unarmed,Smith, James B/M Dews, Antonio B/M Spearman, Damion B/M,Mondy, Michael B/M,N/A,,,||
/ois/docs/narrative/2007/OIS_2007_396556T.pdf,396556T,5/30/2007,5400 Bonita Avenue,Shoot and Miss,Unarmed,Torres, Everrado L/M,Salas, Juan L/M,N/A,,,||
/ois/docs/narrative/2007/OIS_2007_445728T.pdf,445728T,6/15/2007,1200 Shaw Street,Injured,Vehicle,Hernandez, Nicolas L/M,Richardson, Dale W/M Brasher, Cody W/M,No Bill,,,||
/ois/docs/narrative/2007/OIS_2007_456826T.pdf,456826T,6/20/2007,5820 Martel Avenue #223,Injured,Handgun,Ovalle, Leon L/M,Emberlin, Richard W/M,No Bill,,,||
/ois/docs/narrative/2007/OIS_2007_507756T.pdf,507756T,7/7/2007,1818 N. Akard Street,Shoot and Miss,Vehicle,Unknown B/M,Madison, John W/M,N/A,,,||
/ois/docs/narrative/2007/OIS_2007_588432T.pdf,588432T,8/6/2007,9100 Stone Creek Place,Deceased,Unarmed,Davidson, Johnnie W/M,Grimes, Jordan W/M,No Bill,,,||
/ois/docs/narrative/2007/OIS_2007_605484T.pdf,605484T,8/12/2007,200 S. Stemmons Freeway,Other,Shotgun,Salinas, Nick L/M,Poston, Jerry W/M,See Summary,,,||
/ois/docs/narrative/2007/OIS_2007_636873T.pdf,636873T,8/27/2007,2911 Lombardy Lane,Shoot and Miss,Vehicle,Noyola, Gerardo L/M,Cortes, Andrew L/M,N/A,,,||
/ois/docs/narrative/2007/OIS_2007_665855T.pdf,665855T,9/22/2007,11200 Woodmeadow Parkway,Deceased,Unarmed,Watson, Shawn B/M,Dominguez, Ray L/M,No Bill,,,||
/ois/docs/narrative/2007/OIS_2007_670242T.pdf,670242T,9/27/2007,4800 Monarch Street,Injured,Handgun,Washington, Ray B/M,Contreras, Juan L/M,No Bill,,,||
/ois/docs/narrative/2008/OIS_2008_12762V.pdf,12762V,1/12/2008,3330 Pluto Street,Injured,Unarmed,Wrigley, Larry B/M,McLain, Matthew W/M,No Bill,,,||
/ois/docs/narrative/2008/OIS_2008_94073V.pdf,94073V,3/31/2008,3100 Birmingham Street,Injured,Handgun,Scott, Losten B/M,Bailey, Pete W/M Peebles, Matthew W/M Jones, Michael W/M    Lemmons, Harold B/M Fifield, Andrew W/M Wellhouse, Todd W/M White, Kelly W/M    Byas, James L/M,No Bill,,,||
/ois/docs/narrative/2008/OIS_2008_113038V.pdf,113038V,4/18/2008,6271 Highland Hills Drive,Deceased,Handgun,Howard, Jacques B/M,Oliveros, Eduardo L/M,No Bill,,,||
/ois/docs/narrative/2008/OIS_2008_139031V.pdf,139031V,5/11/2008,800 Stemmons Freeway,Injured,Unarmed,Reilly, Michael W/M,Rigney, John W/M Pasley, Chris W/M,No Bill,,,||
/ois/docs/narrative/2008/OIS_2008_160390V.pdf,160390V,5/30/2008,4526 Humphrey Avenue,Deceased,Toy Rifle,Ross, Daniel Jr. B/M,Houston, Tim W/M Deltufo, Chuck W/M Villareal, Mark W/M,No Bill,,,||
/ois/docs/narrative/2008/OIS_2008_167911V.pdf,167911V,6/6/2008,1521 N. Cockrell Hill Road,Deceased,Box Cutter,Lemoine, Dale W/M,Yzaguirre, David L/M,No Bill,,,||
/ois/docs/narrative/2008/OIS_2008_184283V.pdf,184283V,6/21/2008,18081 Midway Road,Injured,BB Rifle,Thompson, Jamison W/M,Eaton, Dan W/M Sanchez, Ray L/M,No Bill,,,||
/ois/docs/narrative/2008/OIS_2008_203505V.pdf,203505V,6/27/2008,2900 Wheatland Road,Other,Handgun,See Summary,Coleman, Alph B/M,See Summary,,,||
/ois/docs/narrative/2008/OIS_2008_213806V.pdf,213806V,7/9/2008,1613 Monte Carlo Street,Deceased,Handgun,Robles, Rodrigo L/M,Cole, Daniel W/M Jenkins, Jocelyn B/F,No Bill,,,||
/ois/docs/narrative/2008/OIS_2008_223423V.pdf,223423V,7/18/2008,7700 Denton Drive,Injured,Handgun,Delagarza, Joe L/M,White, Jacob A/M Evans, Christopher W/M Gonzalez, Margarito L/M,No Bill,,,||
/ois/docs/narrative/2008/OIS_2008_249259V.pdf,249259V,8/12/2008,6800 Larmanda Street,Injured,Handgun,Harvey, Derrick B/M,Mosher, Daniel W/M Terry, Matthew W/M,No Bill,,,||
